sn,ts,gx,gy,gz,ax,ay,az,mx,my,mz,dt,mbx,mby,mbz
1463,301770772624184,-0.0006194171,0.0003659055,0.0003726287,-0.0215484723,0.2011190802,9.8931436539,45.1199951172,0.0000000000,-105.1199951172,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1464,301770792652617,-0.0000085519,0.0015876442,0.0003726287,-0.0335198492,0.1675992310,9.8955373764,45.1199951172,0.0000000000,-105.7799987793,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1465,301770812681050,0.0006023136,0.0009767711,0.0003726287,-0.0550683215,0.1843591630,9.8931436539,45.4799957275,0.3600006104,-106.2600097656,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1466,301770832742816,0.0012131785,0.0009767711,0.0009834925,-0.0550683215,0.1843591630,9.8931436539,45.0000000000,0.4199981689,-105.1799926758,0.0200617667,23.5799999237,-108.4199981689,443.2799987793
1467,301770852804582,0.0006023136,-0.0008558258,-0.0002382370,-0.0502797700,0.2059076279,9.8668060303,45.1199951172,0.2399978638,-105.0599975586,0.0200617667,23.5799999237,-108.4199981689,443.2799987793
1468,301770872866348,-0.0000085519,-0.0020775497,-0.0008491026,-0.0550683215,0.2154847383,9.8907489777,44.8199996948,0.3000030518,-105.7200012207,0.0200617667,23.5799999237,-108.4199981689,443.2799987793
1469,301770892928114,0.0006023136,-0.0014666840,-0.0002382370,-0.0502797700,0.1915419847,9.9051151276,44.9399948120,0.5999984741,-105.8399963379,0.0200617667,23.5799999237,-108.4199981689,443.2799987793
1470,301770912989847,-0.0006194171,-0.0008558258,-0.0002382370,-0.0119713740,0.1939362586,9.8955373764,45.3599929810,0.7200012207,-105.8399963379,0.0200617313,23.5799999237,-108.4199981689,443.2799987793
1471,301770933051613,-0.0012302822,0.0009767711,-0.0008491026,-0.0191541985,0.1915419847,9.8715953827,45.0599975586,0.5400009155,-105.6600036621,0.0200617667,23.5799999237,-108.4199981689,443.2799987793
1472,301770953080046,-0.0006194171,0.0003659055,-0.0002382370,-0.0311255716,0.1652049571,9.8811721802,45.1800003052,0.3000030518,-105.8399963379,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1473,301770973108479,0.0006023136,0.0003659055,-0.0002382370,-0.0502797700,0.1867534369,9.8787775040,45.1800003052,0.3000030518,-105.8399963379,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1474,301770993136912,0.0012131785,0.0009767711,0.0009834925,-0.0383083969,0.1867534369,9.8955373764,45.1800003052,0.3600006104,-105.9599914551,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1475,301771013165345,0.0006023136,-0.0002449527,0.0003726287,-0.0383083969,0.1867534369,9.8955373764,45.1199951172,-0.1200027466,-105.8999938965,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
